20170311,Sydney City SMASH,130,Victoria Men's Roller Derby,213
20170318,Austin Anarchy,157,Oklahoma Men's Roller Derby,123
20170318,Capital City Hooligans,99,Cincinnati Battering Rams,236
20170318,Capital District Trauma Authority,64,Casco Bay Gentlemen's Derby,216
20170318,Cleveland Men's Roller Derby,128,Detroit Men's Roller Derby,364
20170318,New Orleans Brass Roller Derby,34,Tampa Bay Men's Roller Derby,412
20170319,Austin Anarchy,110,Texas Men's Roller Derby,216
20170319,Bridgetown Roller Derby,567,Lane County Concussion,33
20170408,Drive-By City Rollers,234,The Skaters Grim,178
20170408,Drive-By City Rollers,213,Wheels of Mayhem,151
20170408,Lille Moustaches ,43,Panam Squad,357
20170408,Puget Sound Outcast Derby,130,Vancouver Murder,182
20170408,The Skaters Grim,194,Wheels of Mayhem,130
20170409,Race City Rebels,16,St. Louis Gatekeepers,467
20170415,Chicago Bruise Brothers,153,Wisconsin Men's Roller Derby,166
20170415,Manchester Roller Derby,515,Wirral Roller Derby,55
20170422,Austin Anarchy,219,Minnesota Men's Roller Derby,65
20170422,Brisbane City Rollers,41,Victoria Men's Roller Derby,310
20170422,Brisbane City Rollers,51,Thunderquads Roller Derby Masculino,283
20170422,New Orleans Brass Roller Derby,23,Oklahoma Men's Roller Derby,433
20170422,Sydney City SMASH,51,Thunderquads Roller Derby Masculino,314
20170422,Sydney City SMASH,290,Varsity Derby League,103
20170422,Varsity Derby League,96,Victoria Men's Roller Derby,264
20170423,Brisbane City Rollers,164,Varsity Derby League,143
20170423,Brisbane City Rollers,151,Sydney City SMASH,124
20170423,Manchester Roller Derby,232,Manneken Beasts,72
20170423,Manchester Roller Derby,281,Manneken Beasts,81
20170423,Minnesota Men's Roller Derby,132,Oklahoma Men's Roller Derby,219
20170423,Minnesota Men's Roller Derby,415,New Orleans Brass Roller Derby,49
20170423,Sydney City SMASH,73,Victoria Men's Roller Derby,250
20170423,Thunderquads Roller Derby Masculino,108,Victoria Men's Roller Derby,190
20170423,Thunderquads Roller Derby Masculino,408,Varsity Derby League,87
20170428,Cincinnati Battering Rams,136,Drive-By City Rollers,135
20170428,Collision Men's Derby,152,Dakota Men's Roller Derby,187
20170429,Capital District Trauma Authority,171,Detroit Men's Roller Derby,174
20170429,Capital District Trauma Authority,43,Toronto Men's Roller Derby,354
20170429,Carolina Wreckingballs,116,Race City Rebels,292
20170429,Cincinnati Battering Rams,138,Dakota Men's Roller Derby,214
20170429,Collision Men's Derby,144,Drive-By City Rollers,150
20170429,Crash Test Brummies,224,West Swedish Roller Derby Society,114
20170429,Detroit Men's Roller Derby,61,Toronto Men's Roller Derby,272
20170430,Cincinnati Battering Rams,162,Collision Men's Derby,134
20170430,Dakota Men's Roller Derby,180,Drive-By City Rollers,86
20170504,Lane County Concussion,135,Victoria Men's Roller Derby,237
20170505,Bridgetown Roller Derby,273,Vancouver Murder,108
20170505,Glenmore Reservoir Dogs,36,New York Shock Exchange,439
20170505,Glenmore Reservoir Dogs,165,Lane County Concussion,173
20170505,Puget Sound Outcast Derby,366,Victoria Men's Roller Derby,59
20170505,St. Louis Gatekeepers,437,Wheels of Mayhem,11
20170506,Bridgetown Roller Derby,237,New York Shock Exchange,53
20170506,Crash Test Brummies,31,Tyne and Fear Roller Derby,423
20170506,Glenmore Reservoir Dogs,132,Victoria Men's Roller Derby,194
20170506,Lane County Concussion,111,Wheels of Mayhem,245
20170506,Lincolnshire Rolling Thunder,574,The Inhuman League,11
20170506,Puget Sound Outcast Derby,104,St. Louis Gatekeepers,283
20170506,Vancouver Murder,274,Victoria Men's Roller Derby,80
20170507,Bridgetown Roller Derby,132,St. Louis Gatekeepers,134
20170507,Lille Moustaches ,95,Panam Squad,274
20170507,New York Shock Exchange,152,Vancouver Murder,108
20170507,Puget Sound Outcast Derby,342,Wheels of Mayhem,43
20170513,Capital City Hooligans,82,Chicago Bruise Brothers,263
20170513,Casco Bay Gentlemen's Derby,109,Toronto Men's Roller Derby,269
20170513,Collision Men's Derby,91,Tampa Bay Men's Roller Derby,157
20170513,Collision Men's Derby,75,Philadelphia Hooligans,271
20170513,Drive-By City Rollers,199,The Skaters Grim,91
20170513,Mass Maelstrom,200,Philadelphia Hooligans,162
20170513,Mass Maelstrom,153,Tampa Bay Men's Roller Derby,111
20170514,Casco Bay Gentlemen's Derby,86,Philadelphia Hooligans,504
20170514,Casco Bay Gentlemen's Derby,163,Collision Men's Derby,155
20170514,Mass Maelstrom,275,Toronto Men's Roller Derby,84
20170514,Tampa Bay Men's Roller Derby,126,Toronto Men's Roller Derby,146
20170520,Cleveland Men's Roller Derby,217,Pittsburgh Blue Streaks,134
20170520,Lincolnshire Rolling Thunder,62,Southern Discomfort,296
20170520,Minnesota Men's Roller Derby,337,Wisconsin Men's Roller Derby,97
20170520,Minnesota Men's Roller Derby,153,Race City Rebels,161
20170520,Race City Rebels,350,Wisconsin Men's Roller Derby,39
20170526,Denver Ground Control,112,Puget Sound Outcast Derby,276
20170527,Bridgetown Roller Derby,178,San Diego Aftershocks,93
20170527,Denver Ground Control,69,San Diego Aftershocks,309
20170527,Puget Sound Outcast Derby,196,Vancouver Murder,119
20170528,Bridgetown Roller Derby,226,Puget Sound Outcast Derby,96
20170528,Denver Ground Control,180,Vancouver Murder,207
20170528,San Diego Aftershocks,303,Vancouver Murder,102
20170603,Atlanta Men's Roller Derby,177,Harm City Men's Derby,159
20170603,Chicago Bruise Brothers,39,Race City Rebels,457
20170603,Crash Test Brummies,43,Manchester Roller Derby,396
20170604,Mass Maelstrom,67,New York Shock Exchange,193
20170609,Cleveland Men's Roller Derby,90,Harm City Men's Derby,272
20170609,Flour City Fear Men's Roller Derby,301,Pittsburgh Blue Streaks,143
20170610,Cleveland Men's Roller Derby,121,Flour City Fear Men's Roller Derby,172
20170610,Collision Men's Derby,137,Glenmore Reservoir Dogs,225
20170610,Collision Men's Derby,68,Denver Ground Control,324
20170610,Harm City Men's Derby,206,Pittsburgh Blue Streaks,122
20170611,Cleveland Men's Roller Derby,167,Pittsburgh Blue Streaks,168
20170611,Collision Men's Derby,139,Glenmore Reservoir Dogs,285
20170611,Denver Ground Control,278,Glenmore Reservoir Dogs,117
20170611,Flour City Fear Men's Roller Derby,137,Harm City Men's Derby,190
20170616,Austin Anarchy,243,Carolina Wreckingballs,122
20170616,Drive-By City Rollers,125,Oklahoma Men's Roller Derby,208
